,sentence,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
0,I began making fish curry for my boyfriend and I.,1,1,0,1,0,0,0,1
1,I began making fish curry for my boyfriend and I.,1,0,0,0,0,0,0,0
2,I began making fish curry for my boyfriend and I.,1,0,0,0,0,0,0,1
3,I decided not to read a recipe since I've made so many in my life.,1,1,0,0,0,0,0,1
4,I decided not to read a recipe since I've made so many in my life.,1,1,0,0,0,0,0,1
5,I let the curry sit before tasting.,0,0,1,0,0,0,0,1
6,I let the curry sit before tasting.,1,1,0,0,0,0,0,0
7,I let the curry sit before tasting.,1,1,0,1,0,0,0,1
8,"When it was time to taste, I was disgusted.",0,0,0,1,0,1,1,0
9,"When it was time to taste, I was disgusted.",0,0,1,1,0,1,1,0
10,I accidentally used a whole garlic instead of a whole onion.,0,0,0,0,1,1,0,0
11,I accidentally used a whole garlic instead of a whole onion.,0,0,0,1,1,1,1,0
12,Jervis has been single for a long time.,0,0,1,0,1,1,0,0
13,Jervis has been single for a long time.,0,0,0,0,1,0,0,0
14,Jervis has been single for a long time.,0,0,0,0,1,1,0,1
15,He wants to have a girlfriend.,1,0,0,0,0,0,0,0
16,He wants to have a girlfriend.,0,0,1,0,1,1,1,1
17,He wants to have a girlfriend.,0,1,0,0,1,0,0,1
18,One day he meets a nice girl at the grocery store.,1,0,0,1,0,0,0,0
19,One day he meets a nice girl at the grocery store.,1,0,0,1,0,0,0,1
20,One day he meets a nice girl at the grocery store.,1,1,0,0,0,0,0,1
21,One day he meets a nice girl at the grocery store.,1,0,1,1,0,0,0,0
22,One day he meets a nice girl at the grocery store.,0,0,0,0,0,0,0,0
23,One day he meets a nice girl at the grocery store.,1,0,0,1,0,0,0,1
24,They begin to date.,1,1,0,0,0,0,0,0
25,They begin to date.,1,1,0,0,0,0,0,0
26,They begin to date.,1,1,0,0,0,0,0,0
27,They begin to date.,1,1,0,0,0,0,0,1
28,They begin to date.,1,1,0,0,0,0,0,0
29,They begin to date.,1,1,0,1,0,0,0,1
30,Jervis is happy that he is no longer single.,1,0,0,0,0,0,0,0
31,Jervis is happy that he is no longer single.,1,0,0,0,0,0,0,1
32,Jervis is happy that he is no longer single.,1,1,0,0,0,0,0,0
33,Ray couldn't get an irritating tune out of his head.,0,0,0,0,0,0,1,0
34,Ray couldn't get an irritating tune out of his head.,0,0,0,0,0,0,1,1
35,Ray couldn't get an irritating tune out of his head.,0,0,0,0,1,1,1,0
36,"He tried to distract himself, but the melody kept repeating itself.",0,0,0,0,0,0,1,0
37,"He tried to distract himself, but the melody kept repeating itself.",0,0,0,0,0,0,1,0
38,"He tried to distract himself, but the melody kept repeating itself.",0,0,0,0,0,0,1,0
39,"That night, he turned the radio on and got into bed to go to sleep.",0,0,0,0,1,0,0,0
40,"That night, he turned the radio on and got into bed to go to sleep.",1,1,1,1,1,1,1,1
41,The radio played song after song all night long as Ray slumbered.,1,0,0,0,0,0,0,0
42,The radio played song after song all night long as Ray slumbered.,1,0,0,0,0,0,0,0
43,The radio played song after song all night long as Ray slumbered.,0,0,0,0,0,1,1,0
44,"In the morning, Ray was relieved to have forgotten the annoying tune.",1,1,0,1,0,0,0,0
45,"In the morning, Ray was relieved to have forgotten the annoying tune.",1,0,0,1,0,0,0,0
46,"In the morning, Ray was relieved to have forgotten the annoying tune.",1,0,0,0,0,0,0,0
47,Ferdinand had a talent no one could deny.,1,0,0,0,0,0,0,0
48,Ferdinand had a talent no one could deny.,1,0,0,0,0,0,0,0
49,Ferdinand had a talent no one could deny.,1,0,0,0,0,0,0,0
