,emotion,plutchik,selection0,selection1,label
0,"['none', 'delighted', 'eager', 'happy']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Daniel began to wonder if anyone had ever collected so many magnets.,Anna ordered extra spicy chicken wings from her favorite pizzeria.,1
1,"['admired', 'happy', 'joy']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Lauren's mother even decorated the cake with candles.,Sam is happy!,0
2,"['none', 'disgusted', 'disgust', 'anger', 'mad']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 2, 'anger': 2, 'anticipation': 0}",She quit listening to the radio show.,Jane wondered if she had made a mistake moving away from her friends.,0
3,"['none', 'inspired', 'intrigued']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She'd just built her new house and it was her favorite feature.,John watched a Food Network show on making guacamole.,1
4,"['none', 'excluded', 'disappointed', 'sad', 'sympathetic']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}","Sadly, she cannot drink Diet Coke while pregnant.",No sane dog chases a pack of wild coyotes.,0
5,"['ambitious', 'determined']","{'joy': 0, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",I don't think I will ever enjoy fishing like he does.,Max always used to say he wanted to be a pilot.,1
6,"['ashamed', 'embarrassed', 'guilty']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 1, 'disgust': 2, 'anger': 0, 'anticipation': 1}",Jack didn't show up to work on time.,The hat outlet had a sale on hats.,0
7,"['disappointed', 'DISGUST', 'CONFUSION', 'confident', 'heated', 'argumentative', 'angry']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 2, 'anger': 2, 'anticipation': 0}",Josh didn't realize the knife was in the sink.,"Unfortunately, it seemed like they were more interested in fighting.",1
8,"['concern', 'authorative', 'confident', 'confused', 'curious']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",It eventually made her feel better again.,His parents never told him why.,1
9,"['satisfied', 'positive', 'helpful', 'happy']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",They were happy to let him use his referral code after the fact.,I enjoyed blowing bubbles with my nephew.,0
10,"['satisfied', 'pride']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}","Sarah got going fast, and rode it proudly into an evergreen bush!",They performed really well!,1
11,"['none', 'grateful', 'HAPPY', 'so proud', 'excited', 'disappointed']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She hopped into the shower with her toothbrush.,Michael was having a daughter.,1
12,"['angry', 'distraught', 'surprised']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 0}",The director was hailed as a genius.,When he called they told him it was overdraft fees.,1
13,"['great and very happy', 'overconfident', 'cocky', 'great', 'jealous', 'none']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He invited his baby sister Liesel.,Lamar told a friend musician Lamar was moving to Hollywood.,1
14,"['worried', 'upset', 'none']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",I went to the fridge to get a bottle of water.,His dog is too fast and runs off.,1
15,"['excited', 'grateful', 'happy', 'They came up with the perfect solution', 'HAPPY', 'positive']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",They came up with the perfect solution.,I woke up late this morning feeling very refreshed.,0
16,"['playful', 'happy', 'elated']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He even acted tough when wearing it.,Her delighted laughter ringing through the air.,1
17,"['none', 'Surprised', 'Fear', 'Curious', 'spooked', 'startled']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 1}",Unfortunately it was too much.,"After we stopped, she felt something crawling onto her leg.",1
