,emotion,plutchik,selection0,selection1,label
0,"['afraid', 'ashamed', 'anger']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}",He showed this by approaching girls in bars every night.,Security threatened to arrest Ed.,1
1,"['pathetic', 'sad', 'depressed']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 3, 'disgust': 2, 'anger': 2, 'anticipation': 0}",Gordo loses his job.,Todd was restless and couldn't sleep.,0
2,"['terrible', 'depressed', 'sad', 'sadness', 'fear']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 3, 'disgust': 1, 'anger': 1, 'anticipation': 1}",So Martha decided to earn her own money by selling cookies.,The girl's dog had been hit by a car and was dead.,1
3,"['sad', 'amused', 'fearful', 'scared', 'positive']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",My Dad did NOT like the Mantis ride.,He unplugged his coworker's mouse and plugged his own in.,0
4,"['unlucky', 'angry', 'idiotic']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 1, 'disgust': 2, 'anger': 1, 'anticipation': 0}",She began sewing some throw pillows.,The lipstick opened in the dryer.,1
5,"['useful', 'dutiful']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",The bartender poured him a glass of red.,They would meet up every Saturday.,0
6,"['jealousy', 'sadness', 'confusion', 'lonely', 'sad']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 3, 'disgust': 1, 'anger': 0, 'anticipation': 0}",Billy didn't like that she wasn't getting many likes on Facebook.,Gina sat on her school bus in a window seat.,0
7,"['rejected', 'embarrassed', 'reformed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Unfortunately Zack was traveling during the election.,He knew he had to reign it in from that point onward.,1
8,"['guilty', 'lazy', 'regretful', 'irritated', 'annoyed', 'neglected']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 2, 'anger': 1, 'anticipation': 0}","It was much dimmer, but Jane accepted it.",Wade's trash was still sitting in the garage.,1
9,"['afraid', 'angry', 'aggravated', 'exhausted', 'worn', 'weary']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","When the buzzer dinged, she opened the washer and saw pink!","That evening, Sam's mom got a call from her weary son.",1
10,"['frustrated', 'aggravated', 'upset']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 2, 'disgust': 0, 'anger': 1, 'anticipation': 2}","The squirrel was very big and pretty, and Anna wanted to pet it.",Sean's dishwasher wasn't working.,1
11,"['hungry', 'special', 'loved', 'happy', 'proud', 'helpful']","{'joy': 2, 'trust': 3, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",My grandma made a giant batch of oatmeal every morning.,Tina had to throw it out.,0
12,['confused'],"{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",The button behind her skirt had broken.,"However, he did not understand at all.",1
13,"['adventurous', 'determined']","{'joy': 1, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",I went to a home improvement store and bought a shed kit.,She fell in love with him.,0
14,"['happy', 'proud', 'successful', 'confident']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He decided to bring some to work for everyone to try.,"The competition was fierce, but ultimately both magazines succeeded.",1
15,"['stupid', 'embarrassed', 'okay', 'happy']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He smiled and didn't seem to be upset.,Sara had always wanted to be a firefighter.,0
16,"['sleepy', 'tired']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Cam is so tired.,Tom bought his friend drinks as a thanks.,0
17,"['impressed', 'grateful', 'excited', 'prepared', 'eager', 'overwhelmed']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","Nic could do electrical work, roofing and flooring, and drywall.",May spent her life trying to prove that ghosts were real.,0
18,"['friendly', 'confident', 'happy', 'entertained', 'social']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Kenneth and his girlfriend were at the mall.,They struck up a conversation.,1
19,"['proud', 'accomplished', 'passionate', 'happy']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",It helped him very much in developing new perfumes.,Planning was going well.,1
20,['sick'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 1, 'anger': 0, 'anticipation': 1}","Feeling a tad bit under the weather, I decided to make soup.","She realized at the last moment, she had never ordered a cake.",0
21,"['happy', 'apathy', 'informative', 'satisfied', 'excited', 'relieved']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He told Harry that he met the bare minimum height requirement.,Carlos began to lose his mind.,0
22,"['frustrated', 'relieved']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 1, 'anticipation': 1}",Mike ended up sleeping in!,Then she got her first check.,0
23,"['angry', 'surprised']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 2, 'anticipation': 0}",He got a speeding ticket.,Eventually she ended up buying herself a nice diamond necklace.,0
24,"['terrified', 'cautious', 'scared']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 1}",One night he woke up because he heard thunder.,She pointed at the sign.,0
25,"['happy', 'accomplished']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He eats a delicious slice of pie there.,The cleaners cleaned all of my air ducts.,1
26,"['unhappy', 'confused']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Our relationship confuses me.,She ended up having to walk around with bad eyesight.,0
27,"['sad', 'exhausted', 'determined', 'instructive', 'sadistic', 'domineering', 'powerful', 'responsible']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She thought she looked great.,Miguel spent all evening doing his homework.,1
